title,infobox,length,wikilinks,editorcount,pageID,aveviews,categories
Billie Samuel,"{'name': 'Billie Samuel', 'image': 'Close-up of Billie Samuel on the Malvern Star bike showing her koala bear mascot before leaving for Melbourne, 4 July 1934, by Sam Hood (5865180756).jpg', 'birth_date': '1911', 'residence': '[[Victoria, Australia]]', 'occupation': 'Cyclist, waitress', 'nationality': '[[Australia]]'}",4755,"['Adelaide', 'Australia', 'Don Kirkham (cyclist)', 'Eddie Smith (cyclist)', 'Edna Sayers', 'Elsa Barbour', 'Ern Milliken', 'Frankie Thomas (cyclist)', 'Hector Sutherland (cyclist)', 'Hefty Stuart', 'Hubert Opperman', 'Ian Browne (cyclist)', 'International Standard Book Number', 'Joyce Barry', 'Lionel Cox (cyclist)', 'Malvern Star', 'Melbourne', 'Ossie Nicholson', 'Pat Hawkins (cyclist)', 'Richard Lamb', 'Sid Patterson', 'Sydney', 'The Daily Telegraph', 'The Labor Daily', 'Tony Marchant (cyclist)', 'Valda Unthank', 'Victoria, Australia']",7,61310568,1,"['Category:1911 births', 'Category:Australian female cyclists', 'Category:Sportspeople from Victoria (Australia)']"
Bindi (name),,836,"['Bindi Irwin', 'Bindi Kullar', 'Bindy', 'Clara Bindi', 'Daisy Bindi', 'Emanuele Bindi', 'Family name', 'Giacomo Bindi', 'Given name', 'Groovy Girls', 'Rosy Bindi', 'Steve Irwin', 'Umberto Bindi']",11,38859203,6,"['Category:Australian given names', 'Category:Given names', 'Category:Italian-language surnames', 'Category:Surnames']"
Biodun Stephen,"{'name': 'Biodun Stephen Oladigbo', 'birth_name': 'Biodun Stephen', 'occupation': 'Filmmaker', 'yearsactive': '2014–present', 'alma_mater': '[[Obafemi Awolowo University]] <br> [[London Film Academy]]'}",8344,"['2016 Africa Magic Viewers Choice Awards', 'AMVCA', 'Africa Magic Viewers Choice Awards', 'Ali Nuhu', 'Best of Nollywood Awards', 'Bimbo Ademoye', 'Bisola Aiyeola', 'Bolaji Ogunmola', 'Bolanle Ninalowo', 'Chika Ike', 'City People Movie Awards', 'Deyemi Okanlawon', ""Ehi's Bitters"", 'Emem Isong', 'Fathia Balogun', 'Femi Jacobs', 'IMDb', 'Jim Iyke', 'Joshua Richard', 'Joy Isi Bewaji', 'Lilian Afegbai', 'London Film Academy', 'Mary Njoku', 'Mercy Johnson', 'Nigerian Tribune', 'Obafemi Awolowo University', ""Ovy's Voice"", 'Picture Perfect (2016 film)', 'Seven and Half Dates', 'Shaffy Bello', ""Sobi's Mystic"", 'Susan Peters', 'The Ghost and the Tout', 'The Guardian (Nigeria)', 'The Visit (2015 Nigerian film)', ""Tiwa's Baggage"", 'Tough Love (2017 film)', 'Toyin Abraham', 'Uche Ogbodo']",10,58658991,11,"['Category:Living people', 'Category:Nigerian film directors', 'Category:Nigerian film producers', 'Category:Nigerian radio personalities', 'Category:Nigerian writers', 'Category:Obafemi Awolowo University alumni']"
Blanche Roosevelt,,11454,"['Alfred Cellier', 'Arthur Sullivan', 'B. C. Stephenson', 'Bibliothèque nationale de France', 'Broadway theatre', 'Brompton Cemetery', 'Covent Garden', ""D'Oyly Carte Opera Company"", 'Faust (opera)', 'Fifth Avenue Theatre', 'Francesco Lamperti', 'French Academy', 'French Opera House', 'Gilbert and Sullivan', 'Giuseppe Verdi', 'Gustave Doré', 'Guy de Maupassant', 'H.M.S. Pinafore', 'Henry Wadsworth Longfellow', 'Hugh Talbot', 'Integrated Authority File', 'International Standard Name Identifier', 'John McCaull', 'Kurt Gänzl', 'La Traviata', 'Library of Congress Control Number', 'Marchesa', 'Marquis', 'Maurice Strakosch', 'Minnie C. T. Love', 'Monte Carlo', 'New Orleans', 'OCLC', 'Opera Comique', 'Otello', ""Reynold's News"", ""Richard D'Oyly Carte"", 'Royal Opera House', 'SNAC', 'Sandusky, Ohio', 'Système universitaire de documentation', 'The Milwaukee Journal', 'The Morning Post', 'The New York Times', 'The Pirates of Penzance', 'The Sorcerer', 'The Times', 'Trove', 'Union Square Theatre', 'Verdi', 'Victorien Sardou', 'Virtual International Authority File', 'W. S. Gilbert', 'Wilkie Collins', 'WorldCat Identities']",32,3743523,4,"['Category:1853 births', 'Category:1898 deaths', 'Category:19th-century American women writers', 'Category:19th-century American writers', 'Category:American expatriates in England', 'Category:American expatriates in France', 'Category:Burials at Brompton Cemetery', 'Category:Gilbert and Sullivan performers', 'Category:People from Sandusky, Ohio']"
Bonnie Bassler,"{'name': 'Bonnie Bassler', 'birth_name': 'Bonnie Lynn Bassler', 'birth_date': '{{Birth year and age|1962}}', 'birth_place': '[[Chicago]], [[Illinois]], U.S.', 'citizenship': 'U.S. Citizen', 'nationality': '[[Americans|American]]', 'workplaces': '[[Princeton University]]', 'alma_mater': '[[University of California, Davis]]<br/>[[Johns Hopkins University]]', 'known_for': '[[Quorum sensing]]', 'awards': '[[Wiley Prize|Wiley Prize in Biomedical Science]] <small>(2009)</small><br/>[[Richard Lounsbery Award]] {{small|(2011)}} <br/>[[Shaw Prize]] {{small|(2015)}} <br/>[[Pearl Meister Greengard Prize]] {{small|(2016)}} <br/>[[Foreign Member of the Royal Society]]', 'spouse': 'Todd Reichart'}",20562,"['Aaron Frederick Rasmussen Jr.', 'Abigail A. Salyers', 'Adam Riess', 'Adrian Bird', 'Alan Bundy', 'Alasdair Houston', 'Albert Balows', 'Alice Catherine Evans', 'Alice S. Huang', ""Alison D. O'Brien"", 'All Things Considered', 'American Academy of Arts and Sciences', 'American Association for the Advancement of Science', 'American Philosophical Society', 'American Society for Microbiology', 'Americans', 'Andrew Wiles', 'Arthur L. Horwich', 'Arthur Parker Hitchens', 'Arthur Trautwein Henrici', 'Avelino Corma Canos', 'Bachelor of Science', 'Bacteria', 'Barack Obama', 'Barbara Hotham Iglewski', 'Barnett Cohen', 'Bibliothèque nationale de France', 'Biochemistry', 'Brian Schmidt', 'Bruce Beutler', 'Carol A. Nacy', 'Chandrashekhar Khare', 'Charles Albert Evans', 'Charles Arthur Stuart', 'Charles Edward Marshall', 'Charles Krumwiede Jr.', 'Charles L. Bennett', 'Charles Thom', 'Charles-Edward Amory Winslow', 'Chicago', 'Chris D. Thomas', 'Chris Hull', 'Christopher Dye', 'Claire Voisin', 'Clifford Taubes', 'Clifford Wayne Houston', 'Cornelis Bernard van Niel', 'Daniel Eisenstein', 'Daniel Wolpert', 'Danville, California', 'David C. Hooper', 'David C. Jewitt', 'David Donoho', 'David Hendricks Bergey', 'David Julius', 'David Klenerman', 'David MacMillan', 'David Mumford', 'David Schlessinger (microbiologist)', 'David Spergel', 'Demetrios Christodoulou', 'Denis Duboule', 'Dennis Wallace Watson', 'Diane Griffin', 'Dickson Prize', 'Digital object identifier', 'Douglas L. Coleman', 'Edward C. Stone', 'Edwin Broun Fred', 'Edwin George Hastings', 'Edwin Herman Lennette', 'Edwin Michael Foster', 'Edwin Oakes Jordan', 'Enrico Costa (physicist)', 'Ernst Schering Prize', 'Erwin Frink Smith', 'Everett Peter Greenberg', 'FASEB Excellence in Science Award', 'Fellow of the Royal Society', 'Foreign Member of the Royal Society', 'Francis Charles Harrison', 'Frank Shu', 'Franz-Ulrich Hartl', 'Frederic Poole Gorham', 'Frederick C. Neidhardt', 'Frederick George Novy', 'Gabriel Waksman', 'Gail Cassell', 'Gail Monroe Dack', 'Garret A. FitzGerald', 'Geoffrey Marcy', 'George Lusztig', 'Gerald J. Fishman', 'Gerd Faltings', 'Gordon Dougan', 'Halvor Orin Halvorson', 'Hans Zinsser', 'Harlyn Odell Halvorson', 'Harold Joel Conn', 'Harry Eagle', 'Harry Luman Russell', 'Helen Riaboff Whiteley', 'Henryk Iwaniec', 'Herald Rea Cox', 'Herbert Boyer', 'Herbert William Conn', 'Hermann Hauser', 'Howard Hughes Medical Institute', 'Huda Zoghbi', 'Ian Calman Muir MacLennan', 'Ian R. Gibbons (biophysicist)', 'Ian Walmsley', 'Ian Wilmut', 'Illinois', 'Integrated Authority File', 'International Standard Name Identifier', 'International Standard Serial Number', 'Ira Baldwin', 'J. Roger Porter', 'James Carroll (scientist)', 'James Craigie (bacteriologist)', 'James Howard Brown', 'James Morgan Sherman', 'James Tiedje', 'Jane Luu', 'Jean Bourgain', 'Jean Brenchley', 'Jean-Loup Puget', 'Jeffery F. Miller', 'Jeffrey C. Hall', 'Jeffrey M. Friedman', 'Jeremy Burroughes', 'Jim Peebles', 'Jo Handelsman', 'Joan W. Bennett', 'John A. Peacock', 'John Charles Sherris', 'John Edward Blair', 'John F. Hawley', 'John Ingraham', 'John McNamara (mathematical biologist)', 'Johns Hopkins University', 'Joseph James Kinyoun', 'Jules A. Hoffmann', 'Julian Davies (microbiologist)', 'Julian Lewis (biologist)', 'János Kollár', 'K. VijayRaghavan', 'Karl Friedrich Meyer', 'Kazutoshi Mori', 'Keith Campbell (biologist)', 'Kenneth I. Berns', 'Kip Thorne', ""L'Oréal-UNESCO Awards for Women in Science"", ""L'Oréal-UNESCO For Women in Science Awards"", 'Leo Frederick Rettger', 'Library of Congress Control Number', 'Linzy Leon Campbell', 'List of Fellows of the Royal Society elected in 2012', 'Lore Alford Rogers', 'Ludvig Faddeev', 'Ludvig Hektoen', 'Luis Caffarelli', 'Lyman Page', 'Lynn W. Enquist', 'MacArthur Fellowship', 'Margaret Robinson', 'Maria Jasin', 'Martha Howe', 'Mary-Claire King', 'Mathukumalli Vidyasagar', 'Maxim Kontsevich', 'Michael Berridge', 'Michael Rosbash', 'Michael W. Young', 'Michel Mayor', 'Michel Talagrand', 'Michele Dougherty', 'Milton J. Rosenau', 'Molecular biology', 'Morris Frank Shaffer', 'Moselio Schaechter', 'National Academy of Medicine', 'National Academy of Sciences', 'National Science Board', 'Nigel Hitchin', 'Norman MacLeod Harris', 'Orville Wyss', 'Oswald Theodore Avery', 'Paul Franklin Clark', 'Paul R. Ehrlich', 'Pearl Meister Greengard Prize', 'Perry William Wilson', 'Peter Goldreich', 'Peter Walter', 'Ph.D.', 'Phi Beta Kappa', 'Philip Rarick Edwards', 'Philipp Gerhardt', 'Princeton University', 'PubMed Central', 'PubMed Identifier', 'Quorum sensing', 'Rainer Weiss', 'Ralph J. Cicerone', 'Rebecca Lancefield', 'Reinhard Genzel', 'René Dubos', 'Richard Doll', 'Richard Lane Crowell', 'Richard Lounsbery Award', 'Richard S. Hamilton', 'Richard Taylor (mathematician)', 'Riley Dee Housewright', 'Rita Rossi Colwell', 'Robert Earle Buchanan', 'Robert George Everett Murray', 'Robert Hungate', 'Robert Langlands', 'Robert Lefkowitz', 'Robert Lyman Starkey', 'Robert Pierce Williams', 'Robert Stanley Breed', 'Roberto Kolter', 'Ronald Atlas', 'Ronald Drever', 'Ronald Vale', 'Royal Library of the Netherlands', 'Royal Society', 'Ruslan Medzhitov', 'Russell Lande', 'Salvador Luria', 'Samuel Cate Prescott', 'Saul Perlmutter', 'Selman Abraham Waksman', 'Shankar Balasubramanian', 'Shaun Cole', 'Shaw Prize', 'Shiing-Shen Chern', 'Shinya Yamanaka', 'Simon Donaldson', 'Simon White', 'Stanhope Bayne-Jones', 'Stanley Falkow', 'Stanley Norman Cohen', 'Stanley Robert Maloy', 'Steve Jones (biologist)', 'Steven Balbus', 'Stuart Levy (microbiologist)', 'Stuart Mudd', 'Susan E. Sharp', 'Système universitaire de documentation', 'TED (conference)', 'Tejinder Virdee', 'The Royal Society', 'Theobald Smith', 'Thomas E. Shenk', 'Thomas Francis Jr.', 'Thomas Jonathan Burrill', 'Thomas Milton Rivers', 'Timothy Donohue', 'Tony Kouzarides', 'Trevor McDougall', 'USA Science and Engineering Festival', 'United States National Academy of Sciences', 'University of California, Davis', 'Varinder Aggarwal', 'Veranus Alva Moore', 'Virtual International Authority File', 'Vladimir Arnold', 'Walter Dowdle', 'Walter James Nungester', 'Wiley Prize', 'Wiley Prize in Biomedical Sciences', 'William Bowen Sarles', 'William Hallock Park', 'William Henry Welch', 'William J. Borucki', 'William Mansfield Clark', 'William McDowell Hammon', 'William Thompson Sedgwick', 'Willis A. Wood', 'World Cultural Council', 'WorldCat Identities', 'Wu Wenjun', 'Xiaodong Wang (biochemist)', 'Yuet Wai Kan', 'Zhou Guangzhao']",127,91850,26,"['Category:1962 births', 'Category:21st-century women scientists', 'Category:American molecular biologists', 'Category:American women biochemists', 'Category:American women scientists', 'Category:Fellows of the American Academy of Arts and Sciences', 'Category:Fellows of the American Association for the Advancement of Science', 'Category:Foreign Members of the Royal Society', 'Category:Howard Hughes Medical Investigators', 'Category:Johns Hopkins University alumni', ""Category:L'Oréal-UNESCO Awards for Women in Science laureates"", 'Category:Living people', 'Category:MacArthur Fellows', 'Category:Members of the American Philosophical Society', 'Category:Members of the National Academy of Medicine', 'Category:Members of the United States National Academy of Sciences', 'Category:Princeton University faculty', 'Category:Scientists from Chicago', 'Category:University of California, Davis alumni', 'Category:Women molecular biologists']"
Bourne (surname),,2472,"['Aleck Bourne', 'Ansel Bourne', 'Benjamin Bourne', 'Bob Bourne', 'Daniel Bourne', 'Evan Bourne', 'Francis Bourne', 'Frank Bourne', 'George Bourne', 'Given name', 'Holly Bourne', 'Hugh Bourne', 'J. L. Bourne', 'J. R. Bourne', 'James Bourne', 'Jason Bourne', 'John Bourne (artist)', 'John Cooke Bourne', 'Jonathan Bourne, Jr.', 'London Bourne', 'Matt Sydal', 'Matthew Bourne', 'Munroe Bourne', 'Nick Bourne', 'Peter Bourne', 'Philip Bourne', 'Possum Bourne', 'Randolph Bourne', 'Robert Bourne (developer)', 'Robert Ludlum', 'Samuel Bourne', 'Shae-Lynn Bourne', 'Stephen R. Bourne', 'Surname', 'Teddy Bourne', 'Una Mabel Bourne', 'Vanessa Bourne']",33,8920743,3,['Category:Surnames']
Bowe Bergdahl,"{'name': 'Bowe Bergdahl', 'image': 'USA PFC BoweBergdahl ACU Cropped.png', 'birth_date': '{{Birth date and age|mf|=|yes|1986|03|28}}', 'birth_place': '[[Sun Valley, Idaho]], U.S.', 'birth_name': 'Beaudry Robert Bergdahl', 'allegiance': '{{Flagu|United States|name|=|United States|size|=|23px}}', 'branch': '{{Army|United States|name|=|U.S. Army|size|=|23px}} (2008–present) <br/> {{Nowrap|Flagicon image|Flag of the United States Coast Guard.svg|size|=|23px| [[United States Coast Guard|U.S. Coast Guard]] (2006, 26 days)|ref| name=""wpostjune2014""}} {{Flagicon image|Flag of the United States Coast Guard.svg|size|=|23px}} [[United States Coast Guard|U.S. Coast Guard]] (2006, 26 days)', 'rank': 'Private', 'unit': 'Blackfoot Company, 1st [[Battalion]], [[501st Infantry Regiment (United States)|501st Infantry Regiment]], [[4th Brigade Combat Team (Airborne), 25th Infantry Division]]', 'battles': '[[War in Afghanistan (2001–present)|War in Afghanistan]]', 'relations': 'Robert ""Bob"" Bergdahl (father)<br />Jani Larson (mother)<br />Sky Albrecht (sister)'}",81697,"['25th Infantry Division (United States)', '4th Brigade Combat Team (Airborne), 25th Infantry Division', '4th Brigade Combat Team (Airborne), 25th Infantry Division (United States)', '501st Infantry Regiment (United States)', 'ABC News', 'Aafia Siddiqui', 'Abdul Haq Wasiq', 'Advanced Combat Helmet', 'Afghan', 'Afghan National Police', 'Afghan President', 'Afghanistan', 'Afghanistan Campaign Medal', 'Anderson Cooper', 'Army Combat Uniform', 'Army Good Conduct Medal', 'Army Service Ribbon', 'Article 32 hearing', 'Associated Press', 'Awal Gul', 'Ayn Rand', 'Bagram Air Base', 'Bagram Airfield', 'Ballet', 'Barack Obama', 'Battalion', 'Battle of Kamdesh', 'Buck McKeon', 'Buddhist monastery', 'CNN', 'Chairman of the Joint Chiefs of Staff', 'Chuck Hagel', 'College of Southern Idaho', 'Combat Infantryman Badge', 'Combat Outpost Keating', 'Commander-in-chief', 'Convening authority (court-martial)', 'Counterinsurgency', 'Court-martial', 'Courts-martial in the United States', 'DUSTWUN', 'Daily Beast', 'Delta Force', 'Desertion', 'Dishonorably discharged', 'Dog tags', 'Doha', 'Donald Trump', 'Durand Line', 'Eastern Time Zone', 'Eugene Fidell', 'Executive power', 'First Lieutenant', 'Fort Benning', 'Fort Bragg', 'Fort Irwin National Training Center', 'Fort Richardson (Alaska)', 'Fort Sam Houston', 'Fort Sam Houston, Texas', 'General Educational Development', 'Ghazni Province', 'Global War on Terror Service Medal', 'Government Accountability Office', 'Government negotiation with terrorists', 'Government of Qatar', 'Guantanamo Bay detention camp', 'Hailey, Idaho', 'Haji Nadeem', 'Hamid Karzai', 'Haqqani network', 'Homeschooling', 'House Intelligence Committee', 'Huffington Post', 'Improvised explosive device', 'Infantry School', 'International Standard Serial Number', 'International law', 'Isolation (psychology)', 'Jake Tapper', 'James Inhofe', 'Jay Carney', 'Jen Psaki', 'Jirga', 'John Galt', 'Joint Special Operations Command', 'KBOI-TV', 'Karzai administration', 'Ketchum, Idaho', 'Khairullah Khairkhwa', 'Khost', 'Khost Province', 'Landstuhl Regional Medical Center', 'Latrine', 'Library of Congress Control Number', 'Major General', 'Martin Dempsey', 'Michael Flynn', 'Mike Rogers (Michigan politician)', 'Military discharge', 'Military justice', 'Missing in action', 'Mohammad Fazl', 'Mohammad Nabi Omari', 'NBC News', 'National Defense Authorization Act for Fiscal Year 2014', 'National Defense Service Medal', 'National Journal', 'National Security Advisor (United States)', 'Nelson Mandela', 'Nonbinding resolution', 'North Carolina', 'Norullah Noori', 'Norwegian people', 'Obama administration', 'Orthodox Presbyterian Church', 'Overseas Service Ribbon', 'Overseas service bar', 'Pakistan', 'Paktika Province', 'Pashto language', 'Patrolling', 'Persian Gulf', 'Politico', 'Preliminary hearing', 'Prisoner of War Medal', 'Prisoner of war', 'Private first class', 'Purple Heart', 'Qatar', 'Ransom', 'Red Cross', 'Renunciation of citizenship', 'Reuters', 'Robert B. Abrams', 'Robert Young Pelton', 'San Antonio Military Medical Center', 'San Antonio, Texas', 'Sangeen Zadran', 'Saxby Chambliss', 'Schizotypal personality disorder', 'Secretary of Defense', 'Sergeant', 'Serial (podcast)', 'Serial podcast', 'Signing statement', 'South Africa', 'Special Mission Unit', 'Specialist (rank)', 'Sun Valley, Idaho', 'Susan Rice', 'Swedish people', 'Taliban', 'Taliban Five', 'Taliban propaganda', 'Ted Poe', 'Thanksgiving', 'The Economist', 'The New York Times', 'The News International', 'The Wall Street Journal', 'Time (magazine)', 'Uniform Code of Military Justice', 'United States Army', 'United States Army Court of Criminal Appeals', 'United States Army Forces Command', 'United States Coast Guard', 'United States Coast Guard Training Center Cape May', 'United States Department of Defense', 'United States House Foreign Affairs Subcommittee on Terrorism, Nonproliferation, and Trade', 'United States presidential inauguration', 'Unlawful command influence', 'VICE magazine', 'Vietnam War', 'Virtual International Authority File', 'Wade Goodwyn', 'War in Afghanistan (2001–present)', 'World Magazine', 'WorldCat Identities', 'Yahya Kheyl']",854,23664552,2112,"['Category:1986 births', 'Category:American army personnel of the War in Afghanistan (2001–present)', 'Category:American people of Norwegian descent', 'Category:American people of Swedish descent', 'Category:American prisoners of war', 'Category:Foreign hostages in Afghanistan', 'Category:Living people', 'Category:Military personnel from Idaho', 'Category:Orthodox Presbyterian Church members', 'Category:People from Hailey, Idaho', 'Category:People from Sun Valley, Idaho', 'Category:People with schizotypal personality disorder', 'Category:United States Army personnel who were court-martialed', 'Category:United States Army soldiers', 'Category:War in Afghanistan (2001–present) prisoners of war']"
Brantz Mayer,"{'name': 'Brantz Mayer', 'birth_date': '{{birth date|df|=|yes|1809|9|27}}', 'birth_place': '[[Baltimore]], Maryland', 'death_date': '{{death date and age|df|=|yes|1879|2|23|1809|9|27}}', 'death_place': '[[Baltimore]], Maryland', 'occupation': 'Author'}",5321,"['Alfred M. Mayer', 'American Antiquarian Society', 'American Civil War', ""Appletons' Cyclopædia of American Biography"", 'Baltimore', 'Baltimore American', 'Bibliothèque nationale de France', 'Charles F. Mayer (lawyer)', 'East Indies', 'Francis Blackwell Mayer', 'Integrated Authority File', 'International Standard Name Identifier', 'Internet Archive', 'James Grant Wilson', 'Java', 'John Fiske (philosopher)', 'Lewis Brantz', 'Library of Congress Control Number', 'Logan (American Indian leader)', 'Maryland Historical Society', 'Mexico', 'National Library of Australia', 'National Library of Israel', 'Project Gutenberg', 'Royal Library of the Netherlands', 'SNAC', ""St. Mary's College, Baltimore"", 'Sumatra', 'Système universitaire de documentation', 'The American Cyclopædia', 'Trove', 'University of Maryland', 'Virtual International Authority File', 'Wikisource', 'WorldCat Identities', 'Württemberg']",30,34709166,2,"['Category:1809 births', 'Category:1879 deaths', 'Category:American non-fiction writers', 'Category:Lawyers from Baltimore', 'Category:Members of the American Antiquarian Society', 'Category:Writers from Baltimore']"
Burg Neuberg,"{'name': 'Burg Neuberg', 'location': 'Styria, Austria', 'type': 'Castle'}",1122,"['Austria', 'Geographic coordinate system', 'German language', 'List of castles in Austria', 'Styria']",12,23512422,1,"['Category:Austrian castle stubs', 'Category:Castles in Styria', 'Category:Styria geography stubs']"
Burt Kennedy,"{'name': 'Burt Kennedy', 'birth_date': '{{Birth date|1922|9|3}}', 'death_date': '{{Death date and age|2001|2|15|1922|9|3}}', 'death_place': '[[Sherman Oaks, Los Angeles|Sherman Oaks]], [[California]], United States', 'resting_place': '[[Arlington National Cemetery]]', 'birth_place': '[[Muskegon, Michigan]], United States', 'occupation': '[[Film director]], writer, producer', 'years_active': '1955–2000'}",13496,"['1st Cavalry Division (United States)', 'A Distant Trumpet', 'All the Kind Strangers', 'Andrew V. McLaglen', 'Arlington National Cemetery', 'Audie Murphy', 'Batjac Productions', 'Biblioteca Nacional de España', 'Bibliothèque nationale de France', 'Big Bad John (film)', 'Big Hawaii', 'Bronze Star', 'Buchanan Rides Alone', 'Budd Boetticher', 'Buddy Ebsen', 'California', 'Cavalry', 'Clint Eastwood', 'Comanche (2000 film)', 'Comanche Station', 'Combat!', 'Concrete Cowboys (1979 film)', 'Dino De Laurentiis', 'Dirty Dingus Magee', 'Donald Sutherland', 'Drum (1976 film)', 'Elmore Leonard', 'Escape from the Dark', 'Fencing', 'Film director', 'Find a Grave', 'Fort Dobbs', 'Frank Sinatra', 'Glenn Ford', 'Gun the Man Down', 'Hannie Caulder', 'Henry Fonda', 'How the West Was Won (TV series)', 'Hulk Hogan', 'IMDb', 'Integrated Authority File', 'International Standard Name Identifier', 'James Arness', 'James Edward Grant', 'James Garner', 'Jim Thompson (writer)', 'John Ford', 'John Wayne', 'Kate Bliss and the Ticker Tape Kid', 'Kirk Douglas', 'Lawman (TV series)', 'Library of Congress Control Number', ""Louis L'Amour's Down the Long Hills"", 'Magnum, P.I.', 'Mail Order Bride (1964 film)', 'Man in the Vault', 'More Wild Wild West', 'Muskegon, Michigan', 'National Library of the Czech Republic', 'Once Upon a Texas Train', 'Palm Springs Walk of Stars', 'Palm Springs, California', 'Pasadena Playhouse', 'Pedro Gonzales (actor)', 'Philippines Campaign (1944–1945)', 'Purple Heart', 'Randolph Scott', 'Raquel Welch', 'Return of the Gunfighter', 'Return of the Seven', 'Richard Crenna', 'Ride Lonesome', 'Rita Hayworth', 'Robert Mitchum', 'Robert Ryan', 'Rod Steiger', 'Rowdies (TV series)', 'Royal Library of the Netherlands', 'SNAC', 'Screenwriter', 'Seven Brides for Seven Brothers (TV series)', 'Seven Men From Now', 'Seven Men from Now', 'Sherman Oaks, Los Angeles', 'Shootout in a One Dog Town', 'Shootout in a One-Dog Town', 'Sidekicks (1974 film)', 'Silver Star', 'Simon and Simon', 'Six Black Horses', 'Skin Game', 'Snoops (1989 TV series)', 'Stay Away, Joe', 'Steve Carver', 'Suburban Commando', 'Support Your Local Gunfighter', 'Support Your Local Sheriff!', 'Système universitaire de documentation', 'The Alamo (1960 film)', 'The Alamo: 13 Days to Glory', 'The Alamo: Thirteen Days to Glory', 'The Canadians (1961 film)', 'The Deserter (1971 film)', ""The Devil's Backbone (1970 film)"", 'The Good Guys and the Bad Guys', 'The Killer Inside Me (1976 film)', 'The Magnificent Seven', 'The Money Trap', 'The Rhinemann Exchange', 'The Rounders (1965 film)', 'The Rounders (TV series)', 'The Searchers', 'The Tall T', 'The Train Robbers', 'The Train Robbers (1973 film)', 'The Trouble with Spies', 'The Virginian (TV series)', 'The War Wagon', 'The Wild Wild West Revisited', 'The Yellow Rose', 'Virtual International Authority File', 'Welcome to Hard Times (film)', 'Westerns', ""Where the Hell's That Gold?"", 'White Hunter Black Heart', 'Wolf Lake (film)', 'World War II', 'WorldCat Identities', 'Yellowstone Kelly', 'Young Billy Young']",60,3694562,45,"['Category:1922 births', 'Category:2001 deaths', 'Category:American male screenwriters', 'Category:American military personnel of World War II', 'Category:American television directors', 'Category:Burials at Arlington National Cemetery', 'Category:Film directors from Michigan', 'Category:Film producers from Michigan', 'Category:People from Muskegon, Michigan', 'Category:Recipients of the Silver Star', 'Category:Screenwriters from Michigan', 'Category:Western (genre) film directors']"
Byron Bowers,"{'name': 'Byron Bowers', 'medium': 'Comedy, television, film, writing', 'nationality': 'American', 'years_active': '2005–present', 'subject': '[[Spirituality]], travel, race, [[socioeconomics]], [[gender roles]]', 'notable_works': ""''Comedy''"", 'website': '{{URL|byronbowerslive.com}}'}",4641,"[""Adam DeVine's House Party"", 'Adult Swim', 'Atlanta, Georgia', 'Austin City Limits Music Festival', 'Brainfeeder', 'Comedy Central', 'ComicView', 'Concrete Cowboys (2020 film)', 'Flying Lotus', 'Gender roles', 'George Clinton (musician)', 'Guy Code', 'HBO Canada', 'History (U.S. TV channel)', 'Hollywood Bowl', 'Honey Boy (film)', 'IMDb', 'Jimmy Kimmel Live!', 'Kuso', 'Kuso (film)', 'Lena Waithe', 'Life Is Beautiful (music festival)', 'Loiter Squad', 'Los Angeles', 'Lucas Bros Moving Co', 'NBA 2K18', 'SF Sketchfest', 'Showtime (TV network)', 'Socioeconomics', 'South by Southwest', 'Spirituality', 'The Chi', 'The Eric Andre Show', 'The Meltdown with Jonah and Kumail', 'The Pete Holmes Show', 'Thundercat (musician)', 'Tulsa, Oklahoma', 'Upgraded', 'Viceland', 'Why? with Hannibal Buress']",23,47018101,59,"['Category:American stand-up comedians', 'Category:Living people', 'Category:People from Atlanta']"
